league_id,league_name,week,matchup_id,roster_id,display_name,points
1252802326628933632,League 1,14,2.0,5,declancarroll,105.08
1252802326628933632,League 1,14,5.0,6,kingcarrillo,133.98
1252802326628933632,League 1,14,1.0,7,NotKool,96.14
1252802326628933632,League 1,14,4.0,8,Shnickel,123.44
1252802326628933632,League 1,14,1.0,9,HurricaneEich,91.6
1252802326628933632,League 1,14,2.0,10,arturowong,146.84
1252802326628933632,League 1,14,4.0,11,ChexMixChester,97.26
1252802326628933632,League 1,14,5.0,12,Vishiga,97.76
1252802326628933632,League 1,15,2.0,1,Calcarro,94.5
1252802326628933632,League 1,15,,2,garrettmowery,134.36
1252802326628933632,League 1,15,,3,Ouriginal,100.02
1252802326628933632,League 1,15,4.0,4,pattycan,109.6
1252802326628933632,League 1,15,,5,declancarroll,135.98
1252802326628933632,League 1,15,2.0,6,kingcarrillo,117.18
1252802326628933632,League 1,15,4.0,7,NotKool,88.46
1252802326628933632,League 1,15,5.0,8,Shnickel,116.98
1252802326628933632,League 1,15,1.0,9,HurricaneEich,105.6
1252802326628933632,League 1,15,,10,arturowong,155.22
1252802326628933632,League 1,15,5.0,11,ChexMixChester,169.84
1252802326628933632,League 1,15,1.0,12,Vishiga,130.3
1252802326628933632,League 1,16,3.0,1,Calcarro,111.4
1252802326628933632,League 1,16,1.0,2,garrettmowery,186.1
1252802326628933632,League 1,16,4.0,3,Ouriginal,84.38
1252802326628933632,League 1,16,6.0,4,pattycan,86.84
1252802326628933632,League 1,16,5.0,5,declancarroll,137.48
1252802326628933632,League 1,16,2.0,6,kingcarrillo,180.5
1252802326628933632,League 1,16,4.0,7,NotKool,90.62
1252802326628933632,League 1,16,5.0,8,Shnickel,150.5
1252802326628933632,League 1,16,3.0,9,HurricaneEich,93.7
1252802326628933632,League 1,16,2.0,10,arturowong,143.8
1252802326628933632,League 1,16,6.0,11,ChexMixChester,95.22
1252802326628933632,League 1,16,1.0,12,Vishiga,101.66
1252802326628933632,League 1,17,,1,Calcarro,93.24
1252802326628933632,League 1,17,1.0,2,garrettmowery,156.12
1252802326628933632,League 1,17,4.0,3,Ouriginal,82.96
1252802326628933632,League 1,17,,4,pattycan,76.7
1252802326628933632,League 1,17,4.0,5,declancarroll,130.18
1252802326628933632,League 1,17,1.0,6,kingcarrillo,137.22
1252802326628933632,League 1,17,5.0,7,NotKool,91.22
1252802326628933632,League 1,17,5.0,8,Shnickel,104.1
1252802326628933632,League 1,17,,9,HurricaneEich,104.1
1252802326628933632,League 1,17,2.0,10,arturowong,111.68
1252802326628933632,League 1,17,,11,ChexMixChester,98.48
1252802326628933632,League 1,17,2.0,12,Vishiga,114.4
1256316848832524288,League 2,1,2.0,1,Caseyp12,144.38
1256316848832524288,League 2,1,1.0,2,ZLoftis9,113.02
1256316848832524288,League 2,1,1.0,3,PlayaHaterOTY,115.62
1256316848832524288,League 2,1,4.0,4,Gonzo4537,89.72
1256316848832524288,League 2,1,5.0,5,aIexwright,137.16
1256316848832524288,League 2,1,4.0,6,dbrauer23,117.42
1256316848832524288,League 2,1,5.0,7,Spicymeatball69,106.34
1256316848832524288,League 2,1,3.0,8,YourBeanFriend,110.48
1256316848832524288,League 2,1,2.0,9,NotKool,146.26
1256316848832524288,League 2,1,3.0,10,Nick0M,137.78
1256316848832524288,League 2,2,2.0,1,Caseyp12,115.68
1256316848832524288,League 2,2,1.0,2,ZLoftis9,143.2
1256316848832524288,League 2,2,2.0,3,PlayaHaterOTY,148.0
1256316848832524288,League 2,2,5.0,4,Gonzo4537,140.28
1256316848832524288,League 2,2,5.0,5,aIexwright,131.22
1256316848832524288,League 2,2,3.0,6,dbrauer23,101.74
1256316848832524288,League 2,2,4.0,7,Spicymeatball69,153.58
1256316848832524288,League 2,2,3.0,8,YourBeanFriend,136.34
1256316848832524288,League 2,2,1.0,9,NotKool,136.6
1256316848832524288,League 2,2,4.0,10,Nick0M,124.24
1256316848832524288,League 2,3,1.0,1,Caseyp12,132.42
1256316848832524288,League 2,3,1.0,2,ZLoftis9,135.92
1256316848832524288,League 2,3,2.0,3,PlayaHaterOTY,129.92
1256316848832524288,League 2,3,3.0,4,Gonzo4537,111.76
1256316848832524288,League 2,3,4.0,5,aIexwright,148.02
